rid,id,text
325,325:0,"If you need an affordable, entry-level laptop, this will fit the bill."
325,325:1,"I dislike the weight and size, cubersome."
325,325:2,I dislike the quality and the placement of the speakers.
325,325:3,"Overall, it's ok."
326,326:0,"Laptop is advertised as a 15"" but the casing looks like that of a 17""."
326,326:1,This laptop is very large and barely fits in any carrying cases.
326,326:2,Peformance is good for the price.
326,326:3,"If you're not wanting to be mobile, this is a good laptop to sit on a desk."
8,8:0,Had to have this computer repaired twice in the first 5 months after purchasing it.
8,8:1,Not good for a person who gets online daily.
8,8:2,May be better for the occasional web surfer.
83,83:0,"I just got this laptop for college, and so far I am very happy with it."
83,83:1,I really wanted a Mac over a pc because I used a Mac in high school.
83,83:2,It is so much easier to use
81,81:0,"Good keyboard, long battery life, largest hard drive and windows 7."
81,81:1,And Toshiba is a quality supplier.
80,80:0,I love this little one.
80,80:1,The keyboard has a wonderful nature feel.
80,80:2,I like it better than my big Dell Laptop.
80,80:3,Seriously considering a larger laptop to replace the Dell
44,44:0,great battery life.
44,44:1,Keyboard is reasonable size.
44,44:2,Small screen somewhat limiting but great for travel.
44,44:3,Charger seems large for this class of computer.
200,200:0,"Great Laptop for the price, works well with action pack games."
200,200:1,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is."
200,200:2,but other then that I would give this product a 4 in hafe stars.
206,206:0,Good for every day computing and web browsing.
177,177:0,A great computer for light home use and business use.
177,177:1,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.
177,177:2,"Crisp screen, great battery life, and plenty of storage."
177,177:3,Very happy.
276,276:0,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school."
276,276:1,so we got a good deal on hsn for an ascer notebook and we bought it for him.
276,276:2,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.
276,276:3,now he mows yards so he can earn the money for the wireless internet.
276,276:4,I would recomend this acer to parents and grandparents it can really help them in school.
191,191:0,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.
191,191:1,"IT WANT TAKE IT, IT KEEP SAYING ERROR."
191,191:2,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER."
237,237:0,It's fast and has excellent battery life.
237,237:1,The screen shows great colors.
247,247:0,I was surprised with the performance and quality of this HP Laptop.
247,247:1,the speed is fine.
247,247:2,Laptop is to be used like a Netbook.
247,247:3,"But with A WAY Bigger Screen, and IS able to connect to an HDMI."
247,247:4,Love it.
254,254:0,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing."
216,216:0,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS
242,242:0,This computer is the ideal college companion.
242,242:1,It's software and speed enable it to do amazing things.
338,338:0,I am not happy at all with the product I purchased.
338,338:1,"A cheaper price should not equal a ""cheap"" product."
338,338:2,It was over rated!
364,364:0,The Toshiba laptop was a great purchase.
364,364:1,"The price was very good, and the product is top quality."
364,364:2,"The delivery was fast, and I would not hesitate to purchase this laptop again."
362,362:0,"This is my second laptop,and it is head and shoulders above my first."
362,362:1,It has easy to use features and all the speed and power I could ask for.
362,362:2,True quality at a great price!
357,357:0,I have used a computer at work but having your own personal laptop is AWSOME!
357,357:1,I am enjoying it and the quality it provides is great!
357,357:2,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!"
330,330:0,"This is the first laptop I've owned, althougth I used several at my previous job."
330,330:1,"The screen graphics and clarity, and sharpness are great."
330,330:2,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.
322,322:0,I like the laptop overall.
322,322:1,The only thing i can say is that the touch pad doesnt work like it should all the time.
322,322:2,Sometimes you really have to tap the pad to get it to work
354,354:0,This is a great little computer for the price.
354,354:1,"Simple to use, and great graphics."
354,354:2,It has everything I would need for a home computer.
354,354:3,I'm very impressed.
301,301:0,It was secure and easy to navigate.
301,301:1,It is everything that I would want in a computer.
301,301:2,"Besides the great look, it is a great machine."
301,301:3,I would definitely not go back to using a PC after using the mac.
301,301:4,Once again apple stands alone at the top of the charts.
369,369:0,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling."
369,369:1,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs."
369,369:2,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so."
369,369:3,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies."
369,369:4,I am very pleased with my purchase!
371,371:0,This laptop serves all my needs.
371,371:1,Screen size is perfect for portable use in any environment.
371,371:2,Price and purpose is awesome!
373,373:0,I have been very pleased with the performance of this laptop.
373,373:1,"The battery life seems to be very good, and have had no issues with it."
373,373:2,Great product.
382,382:0,The laptop was very easy to set up.
382,382:1,I did not have to call the support line at all.
382,382:2,Everything was so easy.
385,385:0,I purchased two laptops (for my husband and 16 year old daughter).
385,385:1,"My husband uses it mostly for games, email and music."
385,385:2,"My daughter uses it for games, email, facebook, pictures and music."
385,385:3,They were able to set-up with labtops themselves within a few minutes.
385,385:4,It works fine with our wireless and they've had not problems.
385,385:5,It's a great product for a great price!
4,4:0,"Waited on getting this computer, but it has been a great change."
4,4:1,Ease of use is just one of the benefits I love about my Mac.
160,160:0,Purchased as a gift for a friend.
160,160:1,The service I received from Toshiba went above and beyond the call of duty.
160,160:2,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use."
160,160:3,It is extremely portable and easily connects to WIFI at the library and elsewhere.
160,160:4,Just what the doctor ordered.
185,185:0,2nd Mac book I have purchased from MacConnection.
185,185:1,I cannot be happier with the service or product.
64,64:0,power supply went bad after 2 weeks --
64,64:1,after much effort and 10 days ASUS replaced it
64,64:2,The WiFi is very weak.
64,64:3,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal."
64,64:4,Summary: Spend your money elsewhere
78,78:0,This is a nicely sized laptop with lots of processing power and long battery life.
78,78:1,Love it so far.
270,270:0,The Toshiba Net book operates very well.
270,270:1,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.
214,214:0,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs."
214,214:1,"The touchpad is extremely sensitive, which is the only drawback."
214,214:2,"Otherwise, I love it!"
350,350:0,I shopped around before buying.
350,350:1,I wasn't really sure I wanted to spend that kind of money!
350,350:2,It Was a great deal after all.
350,350:3,I LOVE it!
350,350:4,I should have bought one a long time ago.
350,350:5,Not enough time for me to give it 5 stars!
294,294:0,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer."
294,294:1,I have only had PCs with Windows before so this takes a little getting use to.
294,294:2,The real stand out on this computer is the feel of the keyboard and it's speed.
294,294:3,"It is fast booting up , shutting down, and connection with the internet."
294,294:4,The one thing I wish it had was a detailed hardcopy manuel.
294,294:5,"I think the manual is somewhere on the hard drive, but I rather have a hard copy."
239,239:0,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want."
239,239:1,It's priced very reasonable and works very well right out of the box.
239,239:2,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more."
239,239:3,(I found a 2GB stick for a bit under $50)
239,239:4,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents."
239,239:5,My ONLY issues are:
239,239:6,the screen/video resolution won't increase to a higher resolution then 1024 x 60
239,239:7,"That being said, it still runs video in full screen decently."
239,239:8,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones."
239,239:9,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine."
85,85:0,"Okay, let's just start out by saying I am in no way a computer techy."
85,85:1,"I am a wife, mom and a school teacher and a college student."
85,85:2,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient."
85,85:3,I work on a PC at home and have used Pc all through college.
85,85:4,"I use the computer to basically check emails, surf the web, print coupons and for my college papers."
85,85:5,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.
85,85:6,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.
85,85:7,My brother is a computer wiz and would laugh at me because he used an Apple.
85,85:8,"Finally, I couldn't take it anymore and ordered my Apple."
85,85:9,"Yes, I thought the expese was a little much, but I now realize you get what you pay for."
85,85:10,"I love my Apple, it is quick and easy to use."
85,85:11,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me."
85,85:12,I can't say enough of how satisfied I am with their product and help aftermarket.
85,85:13,Money and time well spent!
85,85:14,Highly recommended!
84,84:0,I was looking for a mac which is portable and has all the features that I was looking for.
84,84:1,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
84,84:2,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
84,84:3,I would recommend anyone to buy from pcconnection express.
84,84:4,Speakers doesn't sound that great.
84,84:5,The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.
193,193:0,This was an update from an early MacBook Pro.
193,193:1,"Love the speed, especially!"
193,193:2,So glad I decided to upgrade!
193,193:3,"Thanks, MacConnection, for making this a seamless purchase!"
332,332:0,"I've owned this labtop for less then two months, already the mouse button has broke."
332,332:1,"Still under warrenty so called Toshiba, no help at all."
332,332:2,I'm stuck w/ a broken computer.
332,332:3,"Will not buy another Toshiba, this is my second, not happy w/ either."
55,55:0,This is my 3rd Apple Laptop and first MacBook Pro.
55,55:1,"I love its solid build, light wt and excellent battery life (for now)."
55,55:2,Excellent LED monitor and well equipped.
55,55:3,I love the Apple products.
86,86:0,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer."
86,86:1,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic."
86,86:2,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;"
86,86:3,both upgrades were quickly accomplished after purchasing the necessary Product Key.
86,86:4,"Other installed features, such as certain printer software, are also most attractive."
127,127:0,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines."
127,127:1,I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.
127,127:2,"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them."
127,127:3,It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.
127,127:4,"And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended)."
127,127:5,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in."
127,127:6,Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?
127,127:7,Probably not ever again.
127,127:8,I'll rather be out of date then spend more money on toshiba.
127,127:9,Remember to do your research first before consider buying a toshiba product.
1,1:0,All I can say is W-O-W.
1,1:1,This laptop is insane!!!
1,1:2,It's so nice to look at and the keys are easy to type with.
1,1:3,I bought a protector for my key pad and it works great :)
1,1:4,This is definitely a computer worth the money;
1,1:5,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.
1,1:6,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!"
1,1:7,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from."
1,1:8,The Apple team also assists you very nicely when choosing which computer is right for you :)
1,1:9,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way."
1,1:10,DEFINITELY recommended!!!
213,213:0,"Not a bad laptop, it's a bit slow, but gets the job done."
213,213:1,The lcd screen stopped working on mine after 10 months.
213,213:2,I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.
213,213:3,"upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty."
213,213:4,even though I had the receipt in front of me proving it still had 2 months left on the warranty.
213,213:5,Dealing with the support drone on the other end of the chat was sheer torture.
213,213:6,English must have been his third or fourth language.
213,213:7,"His language was so bad I swore I was taking the turing test, and it was failing."
213,213:8,after trying to get some help he disconnected on me.
213,213:9,After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.
213,213:10,"After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt."
213,213:11,After that the said it was under warranty.
213,213:12,Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.
213,213:13,"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered."
213,213:14,I managed to comply with these too and now have to wait and see if they can find another way to screw me.
213,213:15,They really do have the worlds very worst repair service.
16,16:0,"This computer gets very hot, before shutting down."
16,16:1,It is not ideal for children because of the temp.
16,16:2,"I Contacted HP  about this situation and was given excuses, without results."
16,16:3,They didn't even try to assist me or even offer a replacement.
16,16:4,I will never purchase a HP again ever.
40,40:0,"Let's just get this out of the way, I love Apple!"
40,40:1,So this review might be a tad bit bias.
40,40:2,But the Macbook is the best!
40,40:3,It is super easy to use.
40,40:4,All you have to do is turn it on and it works.
40,40:5,"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet."
40,40:6,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field."
40,40:7,But if you are in the computer field you probably wouldn't be here.:)
40,40:8,In the past four years I've had it I have never once gotten a virus.
40,40:9,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since."
40,40:10,"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer."
40,40:11,"Also it is very good for college students who just need a reliable, easy to use computer."
40,40:12,Hope this helped!
394,394:0,"No laptop is perfect, but sometimes you just find a computer that works for you."
394,394:1,This laptop does everything I need it to very well.
394,394:2,I bought this laptop so that the entire family had a computer in the living room;
394,394:3,the two of us use it regularly.
394,394:4,I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.
394,394:5,The best thing about this laptop is the price along with some of the newer features.
394,394:6,The screen is bright and the keyboard is nice;
394,394:7,I find myself using the 10-key more than I thought I would.
394,394:8,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.
394,394:9,For those that care about noise this thing doesn't really make any;
394,394:10,the i3 processor doesn't seem to run hot and the fan rarely turns on.
394,394:11,I took off a star because the machine has a lot of junk software on it.
394,394:12,I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.
394,394:13,Once I removed all the software the laptop loads in 15-20 seconds.
394,394:14,This is not a serious gaming laptop or a serious media machine;
394,394:15,my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.
394,394:16,Overall I am very satisfied with the purchase.
394,394:17,I looked around and based off my price/features comparison from a brand I trusted I landed here.
386,386:0,"Great, quick laptop for the money."
386,386:1,Right size and weight for portability.
386,386:2,Battery life needs more life.
386,386:3,Battery is not upgradable to a longer life battery.
381,381:0,Both my husband and I have this model Toshiba.
381,381:1,I love everything about it.
381,381:2,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.
381,381:3,I would like at least a 4 hr. battery life.
381,381:4,"Otherwise, all other features are a 1"
174,174:0,This mac is great!
174,174:1,"lightweight, long battery life, excellent transition from PC;"
211,211:0,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.
211,211:1,"I will NEVER buy (Refurbished) again, I don't cae how cheap it is."
211,211:2,I'll wait and save up for a new one.
211,211:3,Just don't waste your time and money on this.
211,211:4,"I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS"
131,131:0,Summary: Dont buy HP.
131,131:1,"If you buy, pray you dont have major prolems."
143,143:0,Runs Hot
143,143:1,I thought we were paying for quality in our decision to buy an Apple product.
143,143:2,"Unfortunately, that is not the case."
143,143:3,"After a little more than a year of owning my MacBook Pro, the monitor has completely died."
143,143:4,"Because we did not purchase the extended warranty in time, we are on the hook for the repair."
143,143:5,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.
143,143:6,"In fact, he said, about 10% of their products fail."
143,143:7,Hmmm - that high failure rate sure isn't reflected in the retail price.
